Sampling Date,Sample Site,Filt.Vol (L),Lat,Long,13C,15N ,POC (mg/m3),PON (mg/m3),Temp C (ITS90),Sal,DIC (UMOL/KG),TA (UMOL/KG),pH,Chl (ug/L),NTU,PRCP,Wind,SSH_A
12/13/2018,VL,3,17.8702,-67.0213,-25,17.028,49.216,5.92,27.44,34.84,-999,-999,8.03,,,0,,
12/13/2018,VL,3,17.8702,-67.0213,-26,3.99,57.178,6.026,27.44,34.84,-999,-999,8.03,,,0,,
2/6/2019,VL,3,17.8702,-67.0213,-25,3.075,56.062,9.489,26.47,35.38,-999,-999,8.02,,,0,,
2/6/2019,VL,3,17.8702,-67.0213,-25,4.08,57.41,10.092,26.47,35.38,-999,-999,8.02,,,0,,
2/6/2019,VL,3,17.8702,-67.0213,-23,4.611,53.433,9.459,26.47,35.38,-999,-999,8.02,,,0,,
3/7/2019,VL,3,17.8702,-67.0213,-25,8.902,66.882,8.56,26.47,35.71,-999,-999,8.02,,,0,,
3/7/2019,VL,3,17.8702,-67.0213,-24,5.795,46.403,8.732,26.47,35.71,-999,-999,8.02,,,0,,
3/22/2019,VL,3,17.8702,-67.0213,-28,9.437,194.029,10.329,26.69,35.76,2035,2340,8.06,,,0,,
3/22/2019,VL,3,17.8702,-67.0213,-27,5.604,147.335,12.971,26.69,35.76,2035,2340,8.06,,,0,,
3/22/2019,VL,3,17.8702,-67.0213,-26,8.145,70.692,7.262,26.69,35.76,2035,2340,8.06,,,0,,
4/2/2019,VL,3,17.8702,-67.0213,-25,1.945,62.316,12.589,27.43,35.79,2026,2341,8.03,,,0,,
4/2/2019,VL,3,17.8702,-67.0213,-24,5.515,64.049,10.829,27.43,35.79,2026,2341,8.03,,,0,,
4/2/2019,VL,3,17.8702,-67.0213,-23,3.02,73.714,13.409,27.43,35.79,2026,2341,8.03,,,0,,
4/17/2019,VL,3,17.8702,-67.0213,-23,2.228,56.669,8.133,26.95,35.9,2044,2349,8.05,,,0,,
4/17/2019,VL,3,17.8702,-67.0213,-22,2.937,63.808,10.181,26.95,35.9,2044,2349,8.05,,,0,,
4/17/2019,VL,3,17.8702,-67.0213,-25,2.925,88.125,8.468,26.95,35.9,2044,2349,8.05,,,0,,
5/16/2019,VL,3,17.8702,-67.0213,-22,1.71,100.858,13.426,27.79,36.11,2042,2372,8.04,,,0,,
5/16/2019,VL,3,17.8702,-67.0213,-22,1.278,84.943,10.47,27.79,36.11,2042,2372,8.04,,,0,,
5/16/2019,VL,3,17.8702,-67.0213,-23,2.542,118.506,12.463,27.79,36.11,2042,2372,8.04,,,0,,
5/24/2019,VL,1,17.8702,-67.0213,-24,3.846,152.246,30.537,,,,,,,,0,,
5/24/2019,VL,3,17.8702,-67.0213,-22,4.227,64.731,13.386,,,,,,,,0,,
5/24/2019,VL,2,17.8702,-67.0213,-24,4.243,78.591,12.532,,,,,,,,0,,
6/12/2019,VL,3,17.8702,-67.0213,-24,1.541,67.395,9.092,28.53,36.1,2031,2369,8.04,,,0,,
6/12/2019,VL,3,17.8702,-67.0213,-23,1.321,56.311,8.616,28.53,36.1,2031,2369,8.04,,,0,,
6/12/2019,VL,3,17.8702,-67.0213,-23,1.451,62.665,9.305,28.53,36.1,2031,2369,8.04,,,0,,
12/10/2020,VL,1,17.8702,-67.0213,NA,1,NA,25.013,28.32,35.32,-999,2281,7.99,,,,,
12/10/2020,VL,1,17.8702,-67.0213,-24,0.74,136.888,21.235,28.32,35.32,-999,2281,7.99,,,,,
12/10/2020,VL,1,17.8702,-67.0213,NA,0.59,NA,25.013,28.32,35.32,-999,2281,7.99,,,,,
